precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ŢIGĂU CORINEL-PARTIDUL SOCIAL DEMOCRAT-voturi","MANTA CĂTĂLIN-PARTIDUL NAȚIONAL LIBERAL-voturi"
3,ARGEŞ,"ŞCOALA GENERALĂ I-IV CÂNDEȘTI, STRADA MAGISTRAT SORIN MOISESCU, NR.182",195,"ALBEŞTII DE MUSCEL",13891,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:08:26",355,335,0,6,14,291,271,0,6,14,282,9,400,109,51,231
3,ARGEŞ,"ŞCOALA GIMNAZIALĂ NR.1 ALBEȘTII DE MUSCEL, STRADA MAGISTRAT SORIN MOISESCU NR.360",194,"ALBEŞTII DE MUSCEL",13891,2,PART,PRCNCT,P,P_SV,"2024-06-10 10:39:02",861,821,0,7,33,647,607,0,7,33,584,17,926,324,58,526
