county_nce,county_name,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,g1.1,g1.2,g1.3,g4,"PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL NAȚIONAL LIBERAL-mandate-faza-1","PARTIDUL NAȚIONAL LIBERAL-mandate-faza-2","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL SOCIAL DEMOCRAT-mandate-faza-1","PARTIDUL SOCIAL DEMOCRAT-mandate-faza-2","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-mandate-faza-1","ALIANȚA PENTRU UNIREA ROMÂNILOR-mandate-faza-2","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL MIȘCAREA POPULARĂ-mandate-faza-1","PARTIDUL MIȘCAREA POPULARĂ-mandate-faza-2","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-mandate-faza-1","PARTIDUL UMANIST SOCIAL LIBERAL-mandate-faza-2","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL S.O.S. ROMÂNIA-mandate-faza-1","PARTIDUL S.O.S. ROMÂNIA-mandate-faza-2","UNIUNEA SALVAȚI ROMÂNIA-voturi","UNIUNEA SALVAȚI ROMÂNIA-mandate-faza-1","UNIUNEA SALVAȚI ROMÂNIA-mandate-faza-2","PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL PRO ROMÂNIA-mandate-faza-1","PARTIDUL PRO ROMÂNIA-mandate-faza-2","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-mandate-faza-1","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-mandate-faza-2","FORȚA DREPTEI-voturi","FORȚA DREPTEI-mandate-faza-1","FORȚA DREPTEI-mandate-faza-2","SÎNICA DANIELA-voturi","SÎNICA DANIELA-mandate-faza-1","SÎNICA DANIELA-mandate-faza-2","PARTIDUL OAMENILOR TINERI-voturi","PARTIDUL OAMENILOR TINERI-mandate-faza-1","PARTIDUL OAMENILOR TINERI-mandate-faza-2","GUZGAN VASILE-voturi","GUZGAN VASILE-mandate-faza-1","GUZGAN VASILE-mandate-faza-2","ALIANȚA ETOCRATĂ PENTRU REFORMĂ-voturi","ALIANȚA ETOCRATĂ PENTRU REFORMĂ-mandate-faza-1","ALIANȚA ETOCRATĂ PENTRU REFORMĂ-mandate-faza-2","BĂRBĂSCU DANIEL-MIHAIL-voturi","BĂRBĂSCU DANIEL-MIHAIL-mandate-faza-1","BĂRBĂSCU DANIEL-MIHAIL-mandate-faza-2","MIRON ALEXANDRU-voturi","MIRON ALEXANDRU-mandate-faza-1","MIRON ALEXANDRU-mandate-faza-2","NECULA NECULAI-voturi","NECULA NECULAI-mandate-faza-1","NECULA NECULAI-mandate-faza-2","ENACHE MARICEL-voturi","ENACHE MARICEL-mandate-faza-1","ENACHE MARICEL-mandate-faza-2","AGAFIŢEI ROMEUO-EMIL-voturi","AGAFIŢEI ROMEUO-EMIL-mandate-faza-1","AGAFIŢEI ROMEUO-EMIL-mandate-faza-2","PARTIDUL NOUA DREAPTĂ-voturi","PARTIDUL NOUA DREAPTĂ-mandate-faza-1","PARTIDUL NOUA DREAPTĂ-mandate-faza-2","SÂRBU BOGDAN-IOAN-voturi","SÂRBU BOGDAN-IOAN-mandate-faza-1","SÂRBU BOGDAN-IOAN-mandate-faza-2","VLAŞIN ORANIA-voturi","VLAŞIN ORANIA-mandate-faza-1","VLAŞIN ORANIA-mandate-faza-2","RACOVIŢĂ IOAN-voturi","RACOVIŢĂ IOAN-mandate-faza-1","RACOVIŢĂ IOAN-mandate-faza-2","VOLOCARU ALECSANDRU-voturi","VOLOCARU ALECSANDRU-mandate-faza-1","VOLOCARU ALECSANDRU-mandate-faza-2","VOLOCARIU ADRIAN-voturi","VOLOCARIU ADRIAN-mandate-faza-1","VOLOCARIU ADRIAN-mandate-faza-2","PARTIDUL ROMÂNIA MARE-voturi","PARTIDUL ROMÂNIA MARE-mandate-faza-1","PARTIDUL ROMÂNIA MARE-mandate-faza-2","MIHAI PARASCHIV-VASILICĂ-voturi","MIHAI PARASCHIV-VASILICĂ-mandate-faza-1","MIHAI PARASCHIV-VASILICĂ-mandate-faza-2","ARSENE COSTICĂ-voturi","ARSENE COSTICĂ-mandate-faza-1","ARSENE COSTICĂ-mandate-faza-2","ANTONACHE IONEL-voturi","ANTONACHE IONEL-mandate-faza-1","ANTONACHE IONEL-mandate-faza-2","PARTIDUL ALTERNATIVA PENTRU DEMNITATE NATIONALĂ-voturi","PARTIDUL ALTERNATIVA PENTRU DEMNITATE NATIONALĂ-mandate-faza-1","PARTIDUL ALTERNATIVA PENTRU DEMNITATE NATIONALĂ-mandate-faza-2","PARTIDUL ECOLOGIST ROMÂN-voturi","PARTIDUL ECOLOGIST ROMÂN-mandate-faza-1","PARTIDUL ECOLOGIST ROMÂN-mandate-faza-2","MACOVEI NICOLAI-voturi","MACOVEI NICOLAI-mandate-faza-1","MACOVEI NICOLAI-mandate-faza-2"
39,VASLUI,ALBEŞTI,162014,2,FINAL,UAT,CL,CL_CE,"2024-06-12 09:58:17",2256,2224,1,26,5,1103,1071,1,26,5,1039,64,2462,1359,51,72,83,94,172,1,1,397,4,0,125,1,0,345,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,VASLUI,"ALEXANDRU VLAHUŢĂ",162069,2,FINAL,UAT,CL,CL_CE,"2024-06-15 11:56:18",1219,1144,0,16,59,662,587,0,16,59,642,20,1275,613,32,44,51,65,11,0,0,420,6,0,170,2,1,0,0,0,21,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,VASLUI,ARSURA,162149,2,FINAL,UAT,CL,CL_CE,"2024-06-13 12:46:47",1353,1280,0,40,33,818,745,0,40,33,754,40,1343,549,37,52,60,83,489,5,1,218,2,1,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,VASLUI,BĂCANI,162327,1,FINAL,UAT,CL,CL_CE,"2024-06-10 12:36:38",2387,2342,2,30,13,1328,1285,0,30,13,1270,58,2582,1254,63,88,101,86,623,7,0,299,3,1,208,2,0,8,0,0,61,0,0,25,0,0,41,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,VASLUI,BĂCEŞTI,162381,2,FINAL,UAT,CL,CL_CE,"2024-06-13 19:25:51",3041,2977,0,30,34,1357,1293,0,30,34,1253,104,3332,1975,62,87,100,91,190,2,0,879,9,1,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,VASLUI,BĂLTENI,162452,1,FINAL,UAT,CL,CL_CE,"2024-06-10 07:45:34",1272,1249,3,12,8,670,650,0,12,8,630,40,1375,705,31,44,50,57,90,1,0,490,8,1,50,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,VASLUI,BANCA,162194,2,FINAL,UAT,CL,CL_CE,"2024-06-13 20:24:30",4442,4330,1,74,37,2701,2590,0,74,37,2543,143,4752,2066,127,178,203,164,975,5,1,1213,7,0,80,0,0,0,0,0,0,0,0,0,0,0,275,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,VASLUI,BEREZENI,162498,1,FINAL,UAT,CL,CL_CE,"2024-06-10 09:38:32",3807,3743,2,55,7,1981,1919,0,55,7,1907,74,4170,2189,95,133,152,146,339,2,0,774,5,0,794,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,VASLUI,BLĂGEŞTI,162559,1,FINAL,UAT,CL,CL_CE,"2024-06-10 07:56:44",1003,972,0,25,6,532,501,0,25,6,508,24,1081,549,25,35,40,56,45,0,1,348,6,0,115,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,VASLUI,BOGDANA,162595,1,FINAL,UAT,CL,CL_CE,"2024-06-10 07:44:07",1150,1131,0,16,3,623,604,0,16,3,586,37,1255,632,29,41,46,65,298,4,1,159,2,0,85,1,0,0,0,0,0,0,0,0,0,0,44,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
