precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"CIOARA IOAN-MARIUS-PARTIDUL SOCIAL DEMOCRAT-voturi","ONICIU MONICA-FELICIA-PARTIDUL NAȚIONAL LIBERAL-voturi","BEXA BENIAMIN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","TUHUŢ CRISTIAN-voturi"
1,ALBA,"PRIMĂRIA COMUNEI CIURULEASA",236,CIURULEASA,4008,5,PART,PRCNCT,P,P_SV,"2024-06-10 15:44:19",599,555,0,23,21,453,409,0,23,21,440,13,613,160,335,17,72,16
1,ALBA,"ŞCOALA PRIMARĂ BUNINGINEA",237,CIURULEASA,4008,1,PART,PRCNCT,P,P_SV,"2024-06-10 12:31:46",370,356,1,2,11,261,247,1,2,11,250,11,395,134,172,17,47,14
