precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"MAN FLORINA-MIHAELA-PARTIDUL NAȚIONAL LIBERAL-voturi","BANDA ADRIAN-OVIDIU-PARTIDUL SOCIAL DEMOCRAT-voturi"
5,BIHOR,"CĂMIN CULTURAL MIZIEȘ",381,DRĂGĂNEŞTI,29243,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:25:41",463,441,0,13,9,342,320,0,13,9,335,7,482,140,246,89
5,BIHOR,"CAMINUL CULTURAL PACALESTI",382,DRĂGĂNEŞTI,29243,1,PART,PRCNCT,P,P_SV,"2024-06-10 00:51:51",175,164,0,6,5,143,132,0,6,5,139,4,183,40,74,65
5,BIHOR,"CAMINUL CULTURAL PANTASESTI",383,DRĂGĂNEŞTI,29243,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:22:17",114,108,0,5,1,96,90,0,5,1,94,2,122,26,68,26
5,BIHOR,"CAMINUL CULTURAL TIGANESTI",386,DRĂGĂNEŞTI,29243,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:05:30",127,122,0,3,2,94,89,0,3,2,93,1,139,45,56,37
5,BIHOR,"PRIMARIA DRAGANESTI",377,DRĂGĂNEŞTI,29243,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:16:38",390,354,1,20,15,326,291,0,20,15,320,6,400,74,220,100
5,BIHOR,"SCOALA MAGHIARA GRADINARI",379,DRĂGĂNEŞTI,29243,1,PROV,PRCNCT,P,P_SV,"2024-06-10 03:37:55",262,250,0,8,4,262,250,0,8,4,256,6,414,148,179,77
5,BIHOR,"SCOALA PRIMARA BELEJENI",378,DRĂGĂNEŞTI,29243,1,PROV,PRCNCT,P,P_SV,"2024-06-10 00:36:38",245,234,0,3,8,189,178,0,3,8,189,0,261,72,131,58
5,BIHOR,"SCOALA PRIMARA LIVADA",380,DRĂGĂNEŞTI,29243,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:13:36",113,107,0,3,3,93,87,0,3,3,92,1,121,28,63,29
5,BIHOR,"SCOALA PRIMARA TALPE",385,DRĂGĂNEŞTI,29243,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:04:41",199,191,0,2,6,153,145,0,2,6,151,2,209,56,66,85
5,BIHOR,"SCOALA SEBIS",384,DRĂGĂNEŞTI,29243,1,PART,PRCNCT,P,P_SV,"2024-06-10 00:43:51",256,247,0,6,3,180,171,0,6,3,176,4,276,96,133,43
