precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL PRO ROMÂNIA-voturi"
18,GALAŢI,"CĂMIN CULTURAL DIN SAT FURCENII VECHI",275,COSMEŞTI,76040,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 04:17:56",1275,1251,1,6,17,571,548,0,6,17,554,12,1358,792,255,49,146,85,19
18,GALAŢI,"CĂMIN CULTURAL ”G-RAL EREMIA GRIGORESCU”",271,COSMEŞTI,76040,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 07:30:44",1211,1181,1,5,24,542,515,0,5,22,510,32,1360,818,269,32,103,87,19
18,GALAŢI,"GRĂDINIȚA CU PROGRAM NORMAL NR. 1",272,COSMEŞTI,76040,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 07:04:13",700,681,0,3,16,345,326,0,3,16,326,19,748,403,144,12,110,42,18
18,GALAŢI,"GRĂDINIȚA CU PROGRAM NORMAL NR. 1",273,COSMEŞTI,76040,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 03:37:59",947,918,1,7,21,460,432,0,7,21,428,32,1000,512,206,104,52,63,3
18,GALAŢI,"ȘCOALA GIMNAZIALĂ NR. 1",274,COSMEŞTI,76040,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:17:32",1269,1253,0,9,7,563,547,0,9,7,541,22,1400,837,253,67,135,70,16
