precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL PRO ROMÂNIA-voturi"
18,GALAŢI,"ŞCOALA GIMNAZIALA ELENA DOAMNA,",285,"CUZA VODĂ",77595,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:46:37",1044,1012,0,4,28,584,552,0,4,28,558,26,1200,616,283,43,196,36
18,GALAŢI,"ŞCOALA GIMNAZIALA ELENA DOAMNA,",284,"CUZA VODĂ",77595,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:39:36",1163,1138,0,5,20,629,604,0,5,20,594,35,1217,588,357,32,188,17
