precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"DRĂSLEUCĂ DUMITRU-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","GHERMAN MARICEL-PARTIDUL NAȚIONAL LIBERAL-voturi","DRĂSLEUCĂ CONSTANTIN-PARTIDUL SOCIAL DEMOCRAT-voturi"
7,BOTOŞANI,"ȘCOALA GIMNAZIALĂ NR. 1 ADĂȘENI",143,ADĂŞENI,40035,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:18:17",1457,1386,0,17,54,442,371,0,17,54,422,20,1453,1011,258,6,158
7,BOTOŞANI,"SCOALA ZOITANI",144,ADĂŞENI,40035,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:37:10",358,345,1,1,11,164,151,1,1,11,151,13,400,236,76,9,66
