precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"TOCUŢ CODRIN-IOAN-UNIUNEA SALVAȚI ROMÂNIA-voturi","MEMETE ADRIAN-FLORIN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","BOCŞE FLORE-PARTIDUL NAȚIONAL LIBERAL-voturi","ILE IOAN-PARTIDUL SOCIAL DEMOCRAT-voturi","ANTON CORNEL-MIRCEA-PARTIDUL UMANIST SOCIAL LIBERAL-voturi"
5,BIHOR,"GRĂDINIŢA CU PROGRAM NORMAL NR. 4 UCURIŞ",465,OLCEA,30229,2,PART,PRCNCT,P,P_SV,"2024-06-10 06:46:39",450,444,0,6,0,195,189,0,6,0,191,4,495,300,4,52,80,7,48
5,BIHOR,"ŞCOALA GIMNAZIALĂ NR. 1 OLCEA",462,OLCEA,30229,2,PART,PRCNCT,P,P_SV,"2024-06-10 07:39:34",482,467,1,7,7,293,280,0,7,6,275,18,520,227,13,38,169,26,29
5,BIHOR,"ŞCOALA GIMNAZIALĂ NR. 2 CĂLACEA",463,OLCEA,30229,3,PART,PRCNCT,P,P_SV,"2024-06-10 06:14:09",968,956,0,3,9,587,575,0,3,9,574,13,1059,472,4,100,360,97,13
5,BIHOR,"ŞCOALA PRIMARĂ NR. 1 HODIŞEL",464,OLCEA,30229,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:33:24",232,227,0,2,3,175,170,0,2,3,174,1,251,76,19,24,128,2,1
