precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL ROMÂNIA ÎN ACȚIUNE-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi"
31,PRAHOVA,"GRĂDINIŢA DE COPII DIN GÎRBEASCA",555,STARCHIOJD,135315,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:53:30",1125,1121,1,3,0,697,694,0,3,0,666,22,1200,512,59,203,12,305,13,30,12,32
31,PRAHOVA,"GRĂDINIŢA DE COPII DIN SATUL STARCHIOJD",554,STARCHIOJD,135315,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:35:31",1287,1279,0,7,1,761,753,0,7,1,741,20,1452,691,93,188,16,313,15,76,26,14
31,PRAHOVA,"ŞCOALA DIN SATUL VALEA ANEI",556,STARCHIOJD,135315,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 03:33:50",388,383,0,5,0,195,190,0,5,0,180,15,400,205,36,78,6,44,0,7,2,7
