precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ANGHEL GHEORGHE-PARTIDUL NAȚIONAL LIBERAL-voturi","ROŞU VASILE-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","POPA CONSTANTIN-PARTIDUL SOCIAL DEMOCRAT-voturi"
17,DOLJ,"ŞCOALA CU CLASELE I-IV CĂCIULATU",505,TERPEZIŢA,74359,2,PART,PRCNCT,P,P_SV,"2024-06-10 05:11:27",279,236,0,24,19,214,171,0,24,19,206,8,300,86,100,7,99
17,DOLJ,"ŞCOALA CU CLASELE I-IV LAZU",506,TERPEZIŢA,74359,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:28:08",265,228,0,24,13,208,171,0,24,13,206,2,300,92,89,2,115
17,DOLJ,"ŞCOALA GENERALĂ TERPEZIŢA",504,TERPEZIŢA,74359,3,PART,PRCNCT,P,P_SV,"2024-06-12 14:59:38",858,710,0,105,43,655,507,0,105,43,640,15,704,49,296,4,340
