precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi"
33,SĂLAJ,"CĂMINUL CULTURAL DIN MESEŞENII DE JOS",225,"MESEŞENII DE JOS",142079,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:08:54",574,550,0,16,8,382,358,0,16,8,369,13,600,218,175,18,43,133
33,SĂLAJ,"CENTRUL AFTER SCHOOL",226,"MESEŞENII DE JOS",142079,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:30:22",1268,1225,0,30,13,842,799,0,30,13,811,31,1365,523,123,203,382,103
33,SĂLAJ,"CENTRUL DE ZI",228,"MESEŞENII DE JOS",142079,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:59:23",686,640,0,39,7,431,385,0,39,7,409,22,750,319,9,27,97,276
33,SĂLAJ,"ŞCOALA GIMNAZIALĂ FETINDIA",227,"MESEŞENII DE JOS",142079,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:46:49",176,158,0,16,2,121,103,0,16,2,119,2,180,59,5,34,34,46
