precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PĂCIOIANU CONSTANTIN-voturi"
3,ARGEŞ,"CASA DE CULTURĂ ŞTEFĂNEŞTI",169,"ORAŞ ŞTEFĂNEŞTI",13392,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:34:04",1087,1075,1,10,1,547,536,0,10,1,533,14,1204,657,74,290,49,22,74,24
3,ARGEŞ,"LICEUL TEHNOLOGIC ”DINU BRĂTIANU”",174,"ORAŞ ŞTEFĂNEŞTI",13392,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:04:36",1927,1906,11,8,2,928,918,0,8,2,903,25,2099,1171,147,462,85,12,152,45
3,ARGEŞ,"LICEUL TEHNOLOGIC ”DINU BRĂTIANU”",175,"ORAŞ ŞTEFĂNEŞTI",13392,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 12:52:00",1279,1274,0,4,1,581,576,0,4,1,552,29,1405,824,67,355,55,1,44,30
3,ARGEŞ,"NIDEC MOTOR CORPORATION ROMANIA S.A.",178,"ORAŞ ŞTEFĂNEŞTI",13392,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 12:18:01",2110,2093,12,5,0,1038,1031,2,5,0,979,59,2322,1284,267,304,146,23,184,55
3,ARGEŞ,"ȘCOALA GENERALĂ ”CONSTANTIN BRÂNCOVEANU”",176,"ORAŞ ŞTEFĂNEŞTI",13392,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:06:27",1379,1365,3,9,2,721,710,0,9,2,660,53,1502,778,87,251,42,32,42,206
3,ARGEŞ,"ŞCOALA GENERALĂ ”CONSTANTIN BRÂNCOVEANU” VALEA MARE",177,"ORAŞ ŞTEFĂNEŞTI",13392,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:19:27",1824,1819,0,3,2,890,885,0,3,2,874,14,2008,1120,160,401,98,13,109,93
3,ARGEŞ,"ŞCOALA GENERALĂ NR.1 ŞTEFĂNEŞTI, CORP C (GRĂDINIŢĂ)",173,"ORAŞ ŞTEFĂNEŞTI",13392,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:08:45",972,971,0,1,0,529,528,0,1,0,501,28,1071,542,77,253,59,15,75,22
3,ARGEŞ,"ŞCOALA PRIMARĂ ENCULEŞTI",171,"ORAŞ ŞTEFĂNEŞTI",13392,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:47:08",467,461,0,6,0,245,239,0,6,0,235,10,510,265,15,117,37,7,30,29
3,ARGEŞ,"ŞCOALA PRIMARĂ ŞTEFĂNEŞTI",170,"ORAŞ ŞTEFĂNEŞTI",13392,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:17:53",1433,1418,3,6,6,766,755,0,6,5,739,27,1562,796,88,416,83,65,63,24
3,ARGEŞ,"ŞCOALA ”RADU GOLESCU” GOLEȘTI",172,"ORAŞ ŞTEFĂNEŞTI",13392,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 08:13:27",1018,1010,0,6,2,462,454,0,6,2,437,25,1123,661,64,239,64,16,39,15
