precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","FORȚA DREPTEI-voturi","PARTIDUL REDUTA-RESPECT,EDUCAȚIE, DEMNITATE, UNITATE, TRADIȚIE, ADEVĂR-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","GRIGORE MARIAN-DAN-voturi","IONESCU CRISTIAN-ŞTEFAN-voturi","MARIN MARIAN-voturi","MIDVIGHI CĂTĂLIN-FLORIN-voturi"
25,ILFOV,"CASA DE CULTURĂ GHERMĂNEŞTI",269,SNAGOV,105160,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:28:50",1387,1339,5,43,0,932,887,2,43,0,891,41,1500,568,323,28,303,35,21,6,21,123,14,14,3
25,ILFOV,"CASA DE CULTURĂ GHERMĂNEŞTI",270,SNAGOV,105160,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 11:30:37",1202,1163,2,35,2,852,814,1,35,2,815,35,1300,450,310,18,263,23,16,19,28,100,23,8,7
25,ILFOV,"GRĂDINIŢA NR. 1 CIOFLICENI",268,SNAGOV,105160,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 09:20:16",1144,1118,9,17,0,733,716,0,17,0,706,27,1200,467,205,36,285,27,34,19,13,43,4,37,3
25,ILFOV,"ŞCOALA GENERALĂ SNAGOV",267,SNAGOV,105160,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:18:19",1993,1904,11,78,0,1225,1147,0,78,0,1161,64,2100,875,331,41,477,34,26,42,120,65,6,6,13
25,ILFOV,"ŞCOALA GIMNAZIALĂ ”CONSTANTIN I.BĂICOIANU”",271,SNAGOV,105160,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 16:03:11",1509,1467,10,31,1,926,894,0,31,1,891,35,1597,671,310,37,378,24,12,11,13,44,8,50,4
