precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"BUNEA ELENA-MĂDĂLINA-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","DICĂ-HRISTU ELENA-PARTIDUL SOCIAL DEMOCRAT-voturi","ŞERBAN LEONARD-IUSTINIAN-PARTIDUL NAȚIONAL LIBERAL-voturi","FĂGĂRĂŞANU ŞTEFAN-CONSTANTIN-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","BĂRBOIU ION-CĂTĂLIN-PARTIDUL S.O.S. ROMÂNIA-voturi"
3,ARGEŞ,"CĂMINUL CULTURAL VLĂDEȘTI CENTRU",521,VLĂDEŞTI,19999,1,PART,PRCNCT,P,P_SV,"2024-06-10 10:54:32",1653,1645,0,3,5,1189,1181,0,3,5,1165,24,1800,611,26,411,705,15,8
3,ARGEŞ,"CĂMINUL CULTURAL VLĂDEȘTI DE SUS",522,VLĂDEŞTI,19999,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:52:38",877,871,0,4,2,669,663,0,4,2,634,35,973,304,7,274,314,5,34
