precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"CÎRSTEA IULIAN-PARTIDUL NAȚIONAL LIBERAL-voturi","SUDITU MARCEL-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","DUMITRU FLORIN-PARTIDUL SOCIAL DEMOCRAT-voturi"
3,ARGEŞ,"CĂMIN CULTURAL TEIU",489,TEIU,19212,1,PROV,PRCNCT,P,P_SV,"2024-06-10 07:18:57",955,876,3,65,11,658,579,3,65,11,636,22,936,278,289,47,300
3,ARGEŞ,"ŞCOALA GENERALĂ LEŞILE",490,TEIU,19212,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:10:38",153,144,0,9,0,108,99,0,9,0,102,6,180,72,35,5,62
