precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","FORUMUL DEMOCRAT AL GERMANILOR DIN ROMÂNIA-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi"
37,TIMIŞ,"CAMINUL CULTURAL BILED",329,BILED,155911,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:24:34",1991,1930,1,19,41,1040,980,0,19,41,1002,38,2000,955,327,324,73,70,95,89,24
37,TIMIŞ,"ȘCOALA GIMNAZIALĂ COMUNA BILED",330,BILED,155911,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:29:38",1565,1507,2,7,49,799,743,0,7,49,769,30,1781,982,232,274,56,62,49,81,15
