precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"VÎNĂTORU FLORIN-DANIEL-PARTIDUL NAȚIONAL LIBERAL-voturi","CHEROIU ION-PARTIDUL SOCIAL DEMOCRAT-voturi","BARBU DANIELA-MARIA-FORȚA DREPTEI-voturi"
30,OLT,"GRĂDINIŢA CU PROGRAM NORMAL DOMNIŢA BĂLAŞA",142,BRÂNCOVENI,126022,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:29:01",442,408,1,33,0,318,285,0,33,0,315,3,454,136,41,267,7
30,OLT,"ŞCOALA GIMNAZIALĂ MATEI BASARAB",141,BRÂNCOVENI,126022,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:53:29",958,847,0,102,9,713,602,0,102,9,685,28,976,263,238,423,24
30,OLT,"ȘCOALA GIMNAZIALĂ ”VOIEVOD BRÂNCOVEANU”",140,BRÂNCOVENI,126022,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:46:17",850,803,4,37,6,571,528,0,37,6,556,15,930,359,164,364,28
