precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","LANG ILIE-voturi"
4,BACĂU,"GRĂDINIŢA SĂLĂTRUC",214,"ORAŞ DĂRMĂNEŞTI",22166,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 03:43:43",662,656,0,6,0,325,319,0,6,0,317,8,700,375,228,49,26,10,4
4,BACĂU,"LICEUL TEHNOLOGIC DĂRMĂNEȘTI",210,"ORAŞ DĂRMĂNEŞTI",22166,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 08:47:12",1496,1485,4,4,3,657,649,1,4,3,628,29,1600,943,442,119,46,18,3
4,BACĂU,"PRIMĂRIA DĂRMĂNEȘTI",216,"ORAŞ DĂRMĂNEŞTI",22166,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:27:41",1283,1272,0,8,3,577,566,0,8,3,547,29,1400,824,350,130,47,11,9
4,BACĂU,"SC MECANO ELECTRIC SERVICE SRL",211,"ORAŞ DĂRMĂNEŞTI",22166,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 02:59:54",760,754,0,6,0,366,360,0,6,0,355,11,800,434,224,79,22,15,15
4,BACĂU,"SCOALA CU CLASELE I-IV DĂRMĂNEASCA",217,"ORAŞ DĂRMĂNEŞTI",22166,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:57:04",688,676,1,7,4,332,321,0,7,4,319,13,700,368,252,38,16,9,4
4,BACĂU,"ŞCOALA CU CLASELE I-VIII PLOPU",219,"ORAŞ DĂRMĂNEŞTI",22166,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:17:54",1278,1252,2,5,19,517,493,0,5,19,495,22,1400,883,336,99,20,35,5
4,BACĂU,"ŞCOALA CU CLASELE L-IV PĂGUBENI",215,"ORAŞ DĂRMĂNEŞTI",22166,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:49:06",306,296,0,10,0,173,163,0,10,0,161,12,400,227,91,37,8,23,2
4,BACĂU,"SCOALA LAPOȘ",218,"ORAŞ DĂRMĂNEŞTI",22166,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 07:55:45",782,770,1,4,7,407,396,0,4,7,393,14,900,488,332,30,19,9,3
4,BACĂU,"ŞCOALA NR.2",208,"ORAŞ DĂRMĂNEŞTI",22166,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:15:04",1324,1317,1,2,4,627,621,0,2,4,583,38,1500,873,393,106,52,16,16
4,BACĂU,"ŞCOALA NR.2",209,"ORAŞ DĂRMĂNEŞTI",22166,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 03:45:40",909,900,0,9,0,456,447,0,9,0,433,23,1000,544,300,91,23,15,4
4,BACĂU,"ŞCOALA NR.3 DĂRMĂNEȘTI",212,"ORAŞ DĂRMĂNEŞTI",22166,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 03:08:00",639,633,0,6,0,277,271,0,6,0,262,15,700,408,180,53,17,7,5
4,BACĂU,"ŞCOALA NR.3 DĂRMĂNEȘTI",213,"ORAŞ DĂRMĂNEŞTI",22166,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 09:39:52",1121,1112,0,9,0,504,495,0,9,0,405,98,1200,697,256,118,23,4,4
