precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","FORȚA DREPTEI-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL PRO ROMÂNIA-voturi","BABAN DOREL-voturi"
32,"SATU MARE","CAMIN CULTURAL",270,POMI,138618,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:09:10",121,110,0,8,3,87,76,0,8,3,85,2,130,43,3,46,16,4,0,0,8,8
32,"SATU MARE","CAMIN CULTURAL",269,POMI,138618,1,PROV,PRCNCT,CL,CL_SV,"2024-06-09 23:54:33",83,66,0,13,4,78,61,0,13,4,61,0,90,29,2,34,13,5,2,0,1,4
32,"SATU MARE","CĂMIN CULTURAL BORLEŞTI",271,POMI,138618,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:32:44",679,619,1,47,12,426,366,1,47,12,403,23,680,254,23,259,75,6,2,5,7,26
32,"SATU MARE","CĂMIN CULTURAL POMI",268,POMI,138618,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:35:16",737,685,2,23,27,490,439,1,23,27,475,15,750,260,23,154,80,42,41,6,32,97
