precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi"
30,OLT,"FOSTA SC. CU CLASELE I-IV PRISACA",377,VULPENI,130124,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:03:08",314,289,0,15,10,186,161,0,15,10,176,10,340,154,98,12,28,15,23
30,OLT,"SCOALA GIMNAZIALA VULPENI",378,VULPENI,130124,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:28:10",823,743,2,46,32,548,470,0,46,32,512,36,838,290,336,65,46,29,36
30,OLT,"SCOALA GIMNAZIALA VULPENI-STRUCTURA GROPSANI",376,VULPENI,130124,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:14:44",665,609,0,22,34,485,429,0,22,34,467,18,727,242,263,154,13,23,14
