precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi"
30,OLT,"GRADINITA CU PROGRAM NORMAL FRASINETU",184,DOBROSLOVENI,126718,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:05:31",380,363,2,8,7,246,229,2,8,7,232,14,408,162,20,104,72,36
30,OLT,"GRADINITA CU PROGRAM NORMAL POTOPINU",185,DOBROSLOVENI,126718,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:57:11",540,534,0,3,3,293,287,0,3,3,279,14,590,297,17,90,138,34
30,OLT,"SCOALA CU CLASELE I-VIII RESCA",186,DOBROSLOVENI,126718,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:47:18",965,956,0,5,4,511,502,0,5,4,474,37,1058,547,26,264,124,60
30,OLT,"SCOALA GIMNAZIALA DOBROSLOVENI",183,DOBROSLOVENI,126718,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:07:35",1094,1076,0,8,10,694,676,0,8,10,655,39,1199,505,36,312,199,108
