precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ENACHE ION-PARTIDUL SOCIAL DEMOCRAT-voturi","DODAN CĂTĂLIN-DUMITRU-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","TOMA IOANA-PARTIDUL NAȚIONAL LIBERAL-voturi","LIBĂR MARIAN-IONUŢ-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
10,BUZĂU,"CLĂDIRE SEDIUL ADMINISTRATIV",206,CILIBIA,46251,1,PROV,PRCNCT,P,P_SV,"2024-06-10 12:34:47",1230,1176,5,25,24,850,801,0,25,24,810,40,1300,450,246,60,347,157
10,BUZĂU,"ŞCOALA PRIMARĂ DIN SATUL MOVILA OII",207,CILIBIA,46251,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:58:35",296,255,0,31,10,239,198,0,31,10,236,3,309,70,127,24,60,25
