precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL ROMÂNIA MARE-voturi"
28,MUREŞ,"CĂMINUL CULTURAL POGĂCEAUA",484,POGĂCEAUA,118824,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 10:00:32",1118,1080,0,8,30,805,767,0,8,30,753,52,1174,369,210,334,64,128,17
28,MUREŞ,"ȘCOALA PRIMARĂ ”VASILE FLOREA” VĂLENI",485,POGĂCEAUA,118824,3,PART,PRCNCT,CL,CL_SV,"2024-06-10 12:22:32",437,422,0,6,9,309,294,0,6,9,284,25,460,151,52,164,16,16,36
