precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"CĂLIN GHEORGHE-PARTIDUL SOCIAL DEMOCRAT-voturi","DUMITRANA OCTAVIAN-VIOREL-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","HAZU CRISTINEL-PARTIDUL NAȚIONAL LIBERAL-voturi","TOFAN OVIDIU-VASILE-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
39,VASLUI,"CĂMINUL CULTURAL CIOCANI",239,CIOCANI,167268,2,PART,PRCNCT,P,P_SV,"2024-06-10 07:56:56",929,917,0,11,1,556,544,0,11,1,529,27,1010,454,226,117,39,147
39,VASLUI,"ȘCOALA PRIMARĂ CRÂNG",240,CIOCANI,167268,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:13:21",387,378,0,9,0,245,236,0,9,0,232,13,400,155,126,38,51,17
