precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"MANE MARIUS-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","MATE MARTA-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","MARIAN CĂLIN-PETRU-PARTIDUL NAȚIONAL LIBERAL-voturi","NISTOR LAURENŢIU-PARTIDUL SOCIAL DEMOCRAT-voturi","APARASCHIVEI CONSTANTIN-DORU-PARTIDUL ALTERNATIVA DREAPTĂ-voturi","MUZSIC ROBERT-EUGEN-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PINTE IOANA-CRISTINA-PARTIDUL NAȚIONAL CONSERVATOR ROMÂN-voturi"
22,HUNEDOARA,"ADĂPOSTUL DE URGENŢĂ PE TIMP DE NOAPTE",43,"MUNICIPIUL DEVA",86687,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:32:06",882,873,3,4,2,450,444,0,4,2,413,31,900,456,62,19,78,204,6,30,14
22,HUNEDOARA,"AFTER SCHOOL",318,BUCEŞ,88788,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:08:02",331,324,0,3,4,228,221,0,3,4,214,14,345,117,42,2,78,86,1,4,1
22,HUNEDOARA,"AMFITEATRUL UNIVERSITĂȚII",143,"MUNICIPIUL PETROŞANI",86990,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:28:49",1300,1289,2,9,0,454,445,0,9,0,427,27,1400,946,87,21,77,181,7,32,22
22,HUNEDOARA,"ASOCIAȚIA COMPOSESORALĂ ”NOBIL” ZEICANI - MAGAZIN ZEICANI",455,SARMIZEGETUSA,91054,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:03:14",90,82,0,1,7,70,62,0,1,7,67,3,100,30,7,4,17,37,0,2,0
22,HUNEDOARA,"BIBLIOTECA MUNICIPALĂ PETROȘANI",156,"MUNICIPIUL PETROŞANI",86990,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:16:57",1392,1383,1,8,0,493,485,0,8,0,462,31,1500,1007,100,16,57,237,10,15,27
22,HUNEDOARA,"BIBLIOTECA MUNICIPALĂ PETROȘANI",157,"MUNICIPIUL PETROŞANI",86990,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:26:54",1642,1615,0,3,24,544,517,0,3,24,496,48,1800,1256,141,20,45,245,18,26,1
22,HUNEDOARA,"CĂMIN CULTURAL BOŞ (GRĂDINIŢA)",107,"MUNICIPIUL HUNEDOARA",86810,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:40:58",514,503,2,9,0,224,215,0,9,0,208,16,550,326,26,13,35,115,0,15,4
22,HUNEDOARA,"CĂMIN CULTURAL MERIA",394,"LUNCA CERNII DE JOS",90119,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 00:59:06",191,191,0,0,0,159,159,0,0,0,144,15,210,51,6,1,93,13,0,31,0
22,HUNEDOARA,"CĂMIN CULTURAL MUNCELU MARE",514,VEŢEL,91982,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-09 23:55:16",59,51,0,8,0,38,30,0,8,0,38,0,69,31,7,1,17,13,0,0,0
22,HUNEDOARA,"CĂMIN CULTURAL NEGOIU",395,"LUNCA CERNII DE JOS",90119,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 00:02:35",155,143,7,5,0,103,98,0,5,0,101,2,160,57,8,1,69,21,0,2,0
22,HUNEDOARA,"CAMIN CULTURAL RUNCU MARE",392,LELESE,90066,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 00:28:55",77,73,0,4,0,61,57,0,4,0,60,1,76,15,3,2,16,39,0,0,0
22,HUNEDOARA,"CĂMINUL CULTURAL",197,"ORAŞ CĂLAN",87424,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:33:17",244,232,2,9,1,157,146,1,9,1,144,13,250,93,12,2,74,48,5,3,0
22,HUNEDOARA,"CĂMINUL CULTURAL",200,"ORAŞ CĂLAN",87424,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:29:00",300,293,0,4,3,163,156,0,4,3,154,9,350,187,34,1,70,39,1,8,1
