precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALDEA IOAN-PARTIDUL SOCIAL DEMOCRAT-voturi","CERGHIZAN ADRIANA-EUGENIA-ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""-voturi","MADAC ALEXANDRU-PARTIDUL NAȚIONAL LIBERAL-voturi","MATE IOAN-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","ONOFREI MARINICĂ-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
28,MUREŞ,"CĂMIN CULTURAL DELENII",264,BĂGACIU,115575,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:43:54",873,856,0,8,9,518,501,0,8,9,507,11,951,433,267,11,9,150,70
28,MUREŞ,"CĂMINUL CULTURAL BĂGACIU",263,BĂGACIU,115575,2,PART,PRCNCT,P,P_SV,"2024-06-10 06:08:41",1202,1186,3,9,4,577,564,0,9,4,560,17,1300,723,267,117,4,3,169
