precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"STOICA VICTOR-TIBERIU-PARTIDUL SOCIAL DEMOCRAT-voturi","MARA SABIN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","CIOLEA OVIDIU-PARTIDUL NAȚIONAL LIBERAL-voturi"
22,HUNEDOARA,"CĂMINUL CULTURAL RÂU BĂRBAT",424,PUI,90538,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:33:59",187,145,0,27,15,143,101,0,27,15,127,0,160,33,88,2,37
22,HUNEDOARA,"ŞCOALA GIMNAZIALĂ BĂIEŞTI (CORP CLS. I-IV)",417,PUI,90538,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:05:51",141,134,0,6,1,141,134,0,6,1,137,4,210,69,40,7,90
22,HUNEDOARA,"ŞCOALA GIMNAZIALĂ PUI",416,PUI,90538,1,PART,PRCNCT,P,P_SV,"2024-06-10 10:49:00",650,627,0,16,7,434,411,0,16,7,407,27,736,302,171,23,213
22,HUNEDOARA,"ŞCOALA PRIMARĂ FEDERI",418,PUI,90538,1,PROV,PRCNCT,P,P_SV,"2024-06-10 02:33:03",195,184,0,6,5,134,123,0,6,5,133,1,210,75,57,2,74
22,HUNEDOARA,"ŞCOALA PRIMARĂ GALAŢI",420,PUI,90538,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:45:02",398,382,0,4,12,246,230,0,4,12,238,8,420,174,129,5,104
22,HUNEDOARA,"ŞCOALA PRIMARĂ HOBIŢA",421,PUI,90538,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:11:23",160,151,0,6,3,123,114,0,6,3,119,4,170,47,41,3,75
22,HUNEDOARA,"ŞCOALA PRIMARĂ NR. 1 FIZEŞTI",419,PUI,90538,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:11:17",255,239,0,8,8,171,155,0,8,8,166,5,260,89,77,6,83
22,HUNEDOARA,"ŞCOALA PRIMARĂ OHABA PONOR",422,PUI,90538,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:24:18",201,194,0,4,3,141,134,0,4,3,139,2,210,69,68,3,68
22,HUNEDOARA,"ŞCOALA PRIMARĂ PONOR",423,PUI,90538,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:19:39",390,360,0,8,22,266,236,0,8,22,260,6,400,134,107,1,152
22,HUNEDOARA,"ŞCOALA PRIMARĂ RUŞOR",425,PUI,90538,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:15:09",262,255,0,4,3,200,193,0,4,3,195,5,300,100,85,8,102
22,HUNEDOARA,"ŞCOALA PRIMARĂ ŞEREL",426,PUI,90538,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:36:03",348,344,0,1,3,238,234,0,1,3,235,3,390,152,121,6,108
22,HUNEDOARA,"ŞCOALA PRIMARĂ URIC",427,PUI,90538,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:09:01",261,242,0,4,15,193,174,0,4,15,191,2,258,65,92,1,98
