precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"MĂGHERAN ALEXANDRU-PARTIDUL NAȚIONAL LIBERAL-voturi","GREC VASILE-voturi"
28,MUREŞ,"CAMINUL CULTURAL CIPAIENI",513,SÂNGER,119386,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:08:28",538,516,0,3,19,394,372,0,3,19,381,13,535,141,164,217
28,MUREŞ,"GRADINITA CU PROGRAM NORMAL SANGER",512,SÂNGER,119386,1,PART,PRCNCT,P,P_SV,"2024-06-10 13:03:50",1271,1226,2,24,19,858,815,0,24,19,839,19,1436,578,428,411
