precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","FORȚA DREPTEI-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi"
38,TULCEA,"CENTRUL CULTURAL ADMINISTRATIV SOCIAL",169,NUFĂRU,161053,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:04:39",1112,1093,0,7,12,628,609,0,7,12,618,10,1198,570,258,233,38,41,39,9
38,TULCEA,"ŞCOALA CU CLASELE I-IV",170,NUFĂRU,161053,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:43:15",196,181,0,10,5,105,90,0,10,5,102,3,207,102,10,43,15,5,26,3
38,TULCEA,"ŞCOALA GIMNAZIALA ”VASILE ALECSANDRI ”NUFARU",168,NUFĂRU,161053,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:57:36",1020,1000,0,10,10,529,509,0,10,10,509,20,1100,571,130,173,49,81,20,56
