precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"BADEA DOREL-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","POPESCU IONELA-DANIELA-UNIUNEA SALVAȚI ROMÂNIA-voturi","GRIGORE VIRGIL-PARTIDUL SOCIAL DEMOCRAT-voturi","BĂRĂGAN PETRUŞ-CRISTIAN-PARTIDUL NAȚIONAL LIBERAL-voturi","GOGONEA VICTOR-CRISTINEL-PARTIDUL MIȘCAREA POPULARĂ-voturi","GEORGESCU MIRCEA-PARTIDUL LIGA ACȚIUNII NAȚIONALE-voturi"
17,DOLJ,"CAMIN CULTURAL",314,COŞOVENI,71885,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:45:53",969,940,0,16,13,646,617,0,16,13,606,40,1049,403,3,100,350,94,53,6
17,DOLJ,"GRADINITA NR. 1",315,COŞOVENI,71885,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:10:23",1124,1069,2,33,20,767,713,1,33,20,747,20,1200,433,8,152,442,50,62,33
17,DOLJ,"GRADINITA NR. 2",316,COŞOVENI,71885,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:30:38",807,743,2,40,22,527,463,2,40,22,505,20,800,252,6,70,163,99,164,3
