precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","BALAZS IOSIF-ATTILA-voturi"
28,MUREŞ,"CĂMIN CULTURAL DELENII",264,BĂGACIU,115575,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:43:56",873,856,0,8,9,518,501,0,8,9,482,36,951,433,75,30,62,183,19,113
28,MUREŞ,"CĂMINUL CULTURAL BĂGACIU",263,BĂGACIU,115575,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 04:49:55",1196,1180,3,9,4,577,564,0,9,4,544,33,1300,723,227,179,23,14,94,7
