precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"GRIGORE AURELIA-ALINA-PARTIDUL NAȚIONAL LIBERAL-voturi","IVAN FLORIN-NELU-PARTIDUL SOCIAL DEMOCRAT-voturi"
16,DÂMBOVIŢA,"ŞCOALA CU CLASELE I - IV ALUNIŞU",204,CORNĂŢELU,66955,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:08:00",307,286,0,13,8,248,227,0,13,8,244,4,310,62,45,199
16,DÂMBOVIŢA,"ŞCOALA CU CLASELE I - IV BOLOVANI",205,CORNĂŢELU,66955,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:33:04",587,517,0,53,17,434,364,0,53,17,394,11,549,144,171,223
16,DÂMBOVIŢA,"ŞCOALA CU CLASELE I - VIII CORNĂŢELU",203,CORNĂŢELU,66955,1,PROV,PRCNCT,P,P_SV,"2024-06-10 02:50:47",316,282,0,27,7,233,199,0,27,7,231,2,310,77,82,149
