precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"LICĂRĂ NICOLAE-ELIADE-PARTIDUL NAȚIONAL LIBERAL-voturi","NEAMŢU ION-PARTIDUL SOCIAL DEMOCRAT-voturi","BADEA NICOLAE-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi"
27,MEHEDINŢI,"CĂMINUL CULTURAL PRISTOL",242,PRISTOL,113206,1,PART,PRCNCT,P,P_SV,"2024-06-10 10:17:47",890,737,0,99,54,555,402,0,99,54,540,15,811,256,42,336,162
27,MEHEDINŢI,"ŞCOALA GENERALĂ COZIA",243,PRISTOL,113206,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:40:06",473,411,0,27,35,298,236,0,27,35,289,9,453,155,9,205,75
