precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"IUSCO IRINA-ADRIANA-GABRIELA-PARTIDUL SOCIAL DEMOCRAT-voturi","ARDELEAN IOAN-PARTIDUL NAȚIONAL LIBERAL-voturi"
26,MARAMUREŞ,"CĂMINUL CULTURAL",417,ŞIEU,179613,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:37:43",1245,1168,1,52,24,861,784,1,52,24,846,15,1300,439,261,585
26,MARAMUREŞ,"ȘCOALA DE LA PODUL RÂTULUI",418,ŞIEU,179613,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:15:35",750,702,0,34,14,524,477,0,34,13,516,8,796,272,220,296
