precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","UNIUNEA CREȘTIN DEMOCRATĂ DIN ROMÂNIA-voturi","ALIANȚA MAGHIARĂ DIN TRANSILVANIA - ERDÉLYI MAGYAR SZÖVETSÉG-voturi"
5,BIHOR,"ȘCOALA GIMNAZIALĂ SZALARDI JANOS SĂLARD",538,SĂLARD,31011,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:09:04",1365,1319,7,25,14,773,732,2,25,14,730,43,1470,697,69,498,23,18,22,100
5,BIHOR,"ȘCOALA GIMNAZIALĂ SZALARDI JANOS SĂLARD",537,SĂLARD,31011,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:19:43",1210,1199,3,3,5,581,572,1,3,5,571,10,1323,742,130,262,38,25,21,95
5,BIHOR,"ȘCOALA PRIMARĂ NR.1",539,SĂLARD,31011,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:18:15",623,616,1,2,4,411,405,0,2,4,394,17,688,277,8,284,2,2,0,98
5,BIHOR,"ȘCOALA PRIMARĂ NR. 2",540,SĂLARD,31011,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:46:56",525,508,7,4,6,293,283,0,4,6,287,6,568,275,3,232,4,4,0,44
