precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","PURCOI CLAUDIU-FLORIAN-voturi"
40,VÂLCEA,"FOSTA ŞCOALĂ NEMOIU",163,AMĂRĂŞTI,168309,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:30:15",696,621,0,28,47,452,377,0,28,47,425,27,690,238,141,209,28,14,30,3
40,VÂLCEA,"ŞCOALA GIMNAZIALĂ AMĂRĂŞTI",162,AMĂRĂŞTI,168309,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 10:37:45",867,787,0,42,38,570,490,0,42,38,540,30,870,300,224,247,25,18,5,21
