precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"NEGREI VIOREL-LUCIAN-PARTIDUL NAȚIONAL LIBERAL-voturi","COSTESCU ANISIA-GEORGIANA-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","STRÎMTU VIOREL-PARTIDUL SOCIAL DEMOCRAT-voturi","NEGREI ALEXANDRU-IOAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi"
8,BRAŞOV,"GRĂDINIŢA CU PROGRAM NORMAL DUMBRĂVIŢA",340,DUMBRĂVIŢA,40928,2,PART,PRCNCT,P,P_SV,"2024-06-10 14:04:17",1775,1766,1,7,1,1062,1054,0,7,1,1035,27,1931,869,194,465,364,12
8,BRAŞOV,"PRIMĂRIA COMUNEI DUMBRĂVIŢA",339,DUMBRĂVIŢA,40928,1,PART,PRCNCT,P,P_SV,"2024-06-10 11:48:30",1618,1608,2,7,1,941,933,0,7,1,892,49,1800,859,147,405,313,27
8,BRAŞOV,"ŞCOALA GENERALĂ SAT VLĂDENI",341,DUMBRĂVIŢA,40928,3,PART,PRCNCT,P,P_SV,"2024-06-11 09:23:21",754,738,3,12,1,434,421,0,12,1,412,22,800,363,186,10,123,93
