precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"OLTEANU NICOLAE-PARTIDUL SOCIAL DEMOCRAT-voturi","SAFTA CRISTIAN-DANIEL-PARTIDUL NAȚIONAL LIBERAL-voturi","PĂCIOIANU TRAIAN-CRISTIAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","DUMITRU CLAUDIA-MARIANA-UNIUNEA SALVAȚI ROMÂNIA-voturi","VOICU DANIEL-PETRE-PARTIDUL MIȘCAREA ROMÂNIA SUVERANĂ-voturi"
3,ARGEŞ,"GRĂDINIȚA CU PROGRAM NORMAL PURCĂRENI",386,MICEŞTI,17209,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:29:18",1391,1388,0,1,2,964,961,0,1,2,941,20,1533,572,293,104,274,27,243
3,ARGEŞ,"ŞCOALA GIMNAZIALA NR.1 MICEȘTI",384,MICEŞTI,17209,1,PART,PRCNCT,P,P_SV,"2024-06-10 12:31:06",1521,1513,6,0,2,1085,1083,0,0,2,1062,19,1656,575,306,67,392,65,232
3,ARGEŞ,"ŞCOALA PRIMARA NR.2 PĂULEASCA",385,MICEŞTI,17209,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:50:19",891,881,0,3,7,689,679,0,3,7,645,44,981,292,286,12,75,7,265
