precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"NEGRESCU GIGI-COSTINEL-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","TRUŞCĂ LIDIA-ANTONIA-PARTIDUL NAȚIONAL LIBERAL-voturi","CREŢESCU REBECA-EUGENIA-PARTIDUL SOCIAL DEMOCRAT-voturi"
27,MEHEDINŢI,"CĂMINUL CULTURAL PERI",197,HUSNICIOARA,112129,2,PART,PRCNCT,P,P_SV,"2024-06-12 20:22:26",416,309,0,102,5,334,227,0,102,5,331,3,444,110,3,182,146
27,MEHEDINŢI,"ŞCOALA GENERALĂ BĂDIŢEŞTI",196,HUSNICIOARA,112129,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:03:54",182,139,0,41,2,150,107,0,41,2,149,1,170,20,3,126,20
27,MEHEDINŢI,"ŞCOALA GIMNAZIALĂ HUSNICIOARA-C2",195,HUSNICIOARA,112129,2,PART,PRCNCT,P,P_SV,"2024-06-11 20:37:09",815,493,1,303,18,686,365,0,303,18,662,24,772,86,6,444,212
