precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","SZABÓ ZSOLT-voturi","RÉSZEG ERNŐ-voturi","POTYÓ ÉVA-voturi"
21,HARGHITA,"PRIMARIA SÎNMARTIN",242,SÂNMARTIN,85788,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:12:30",916,896,3,1,16,588,570,1,1,16,547,41,1000,412,341,86,98,22
21,HARGHITA,"PRIMARIA SÎNMARTIN",243,SÂNMARTIN,85788,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:15:58",884,876,0,2,6,487,479,0,2,6,432,55,980,493,281,44,60,47
