precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"POCORA ANTONEL-PARTIDUL SOCIAL DEMOCRAT-voturi","GRACIOV NICOLAE-UNIUNEA SALVAȚI ROMÂNIA-voturi","PINDIC GHIOCEL-PARTIDUL NAȚIONAL LIBERAL-voturi"
38,TULCEA,"ŞCOALA GIMNAZIALĂ",88,"C.A. ROSETTI",159883,1,PROV,PRCNCT,P,P_SV,"2024-06-10 02:34:16",204,196,0,6,2,92,84,0,6,2,86,6,216,124,52,17,17
38,TULCEA,"ŞCOALA PRIMARĂ",90,"C.A. ROSETTI",159883,1,PROV,PRCNCT,P,P_SV,"2024-06-10 01:59:55",154,152,0,1,1,77,75,0,1,1,69,8,167,90,18,44,7
38,TULCEA,"ŞCOALA PRIMARĂ",89,"C.A. ROSETTI",159883,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:29:26",231,227,0,3,1,137,133,0,3,1,134,3,244,107,59,11,64
