precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"HRESCANU VASILE-CĂTĂLIN-PARTIDUL NAȚIONAL LIBERAL-voturi","TRIFINA IULIAN-SORIN-PARTIDUL SOCIAL DEMOCRAT-voturi","NECHIFOR VASILE-ALIANȚA DREAPTA UNITĂ USR - PMP-voturi","HRECENIUC DUMITRU-VASILE-voturi"
35,SUCEAVA,"CENTRU DE ASISTENȚĂ DUPĂ PROGRAMUL ȘCOLAR TIP ”AFTERSCHOOL”",349,HÂRTOP,151549,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:38:25",1064,1048,1,7,8,626,611,0,7,8,609,17,1158,532,175,181,148,105
35,SUCEAVA,"CENTRU DE ASISTENȚĂ DUPĂ PROGRAMUL ȘCOLAR TIP ”AFTERSCHOOL”",350,HÂRTOP,151549,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:29:59",1069,1035,2,8,24,578,545,1,8,24,560,18,1137,559,220,96,204,40
