precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"BANAURS ADRIAN-VIOREL-PARTIDUL SOCIAL DEMOCRAT-voturi","MĂRGĂRIT FLORIN-OVIDIU-PARTIDUL NAȚIONAL LIBERAL-voturi","BODOC MARIUS-CĂTĂLIN-voturi","BODOC MARIUS-IONUŢ-voturi"
41,VRANCEA,"LICEUL TEORETIC ”GRIGORE GHEBA” DUMITREȘTI",155,DUMITREŞTI,175983,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:45:26",615,576,0,19,20,431,392,0,19,20,407,5,652,240,258,28,113,8
41,VRANCEA,"ȘCOALA GIMNAZIALĂ LĂSTUNI",161,DUMITREŞTI,175983,3,PART,PRCNCT,P,P_SV,"2024-06-11 14:59:31",256,232,0,11,13,186,163,0,11,12,186,0,267,81,148,15,23,0
41,VRANCEA,"ȘCOALA PRIMARĂ BICEȘTII DE JOS",156,DUMITREŞTI,175983,3,PART,PRCNCT,P,P_SV,"2024-06-11 16:58:42",544,526,0,7,11,350,332,0,7,11,312,38,591,241,245,31,34,2
41,VRANCEA,"ȘCOALA PRIMARĂ BICEȘTII DE SUS",157,DUMITREŞTI,175983,2,PART,PRCNCT,P,P_SV,"2024-06-10 11:37:19",570,534,0,16,20,447,411,0,16,20,419,12,609,178,223,19,165,12
41,VRANCEA,"ȘCOALA PRIMARĂ DUMITREȘTII DE SUS",158,DUMITREŞTI,175983,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:03:47",215,206,0,6,3,158,149,0,6,3,154,4,231,73,119,7,25,3
41,VRANCEA,"ȘCOALA PRIMARĂ DUMITREȘTII - FAȚĂ",159,DUMITREŞTI,175983,2,PART,PRCNCT,P,P_SV,"2024-06-11 14:01:25",165,149,0,9,7,124,108,0,9,7,117,7,171,47,81,5,30,1
41,VRANCEA,"ȘCOALA PRIMARĂ GĂLOIEȘTI",160,DUMITREŞTI,175983,2,PART,PRCNCT,P,P_SV,"2024-06-11 14:39:54",467,449,1,12,5,324,307,0,12,5,310,14,495,171,238,7,63,2
41,VRANCEA,"ȘCOALA PRIMARĂ MOTNĂU",162,DUMITREŞTI,175983,1,PART,PRCNCT,P,P_SV,"2024-06-10 11:55:52",235,217,0,7,11,188,170,0,7,11,184,4,258,70,124,5,51,4
41,VRANCEA,"ȘCOALA PRIMARĂ POIENIȚA",163,DUMITREŞTI,175983,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:01:09",176,159,0,6,11,148,132,0,6,10,147,1,185,37,126,7,13,1
41,VRANCEA,"ȘCOALA PRIMARĂ TINOASA",164,DUMITREŞTI,175983,2,PART,PRCNCT,P,P_SV,"2024-06-11 14:17:26",122,102,0,13,7,103,83,0,13,7,102,1,118,15,87,5,8,2
41,VRANCEA,"ȘCOALA PRIMARĂ TRESTIA",165,DUMITREŞTI,175983,2,PART,PRCNCT,P,P_SV,"2024-06-11 14:40:10",115,105,0,5,5,90,80,0,5,5,89,1,122,32,61,9,19,0
