precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi"
37,TIMIŞ,"GRADINITA CU PROGRAM NORMAL GRĂNICERII",421,GIERA,157273,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 02:04:31",202,198,0,4,0,88,84,0,4,0,84,4,200,112,9,29,36,10,0
37,TIMIŞ,"GRADINITA CU PROGRAM NORMAL TOAGER",422,GIERA,157273,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:18:07",319,305,0,5,9,164,150,0,5,9,157,7,360,196,19,62,41,14,21
37,TIMIŞ,"SEDIUL PRIMARIEI GIERA",420,GIERA,157273,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 02:50:18",638,607,2,15,14,376,346,1,15,14,321,25,700,354,25,104,123,20,49
