precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL PRO ROMÂNIA-voturi"
34,SIBIU,"CĂMIN CULTURAL IGHIŞU VECHI",241,BÂRGHIŞ,144232,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:35:06",107,99,2,6,0,107,99,2,6,0,96,11,200,93,45,1,14,31,1,0,3,1
34,SIBIU,"DISPENSAR UMAN VECERD",243,BÂRGHIŞ,144232,1,PART,PRCNCT,CL,CL_SV,"2024-06-09 23:55:28",91,86,0,5,0,46,41,0,5,0,46,0,100,54,11,2,8,17,3,2,2,1
34,SIBIU,"GRĂDINIȚA CU PROGRAM NORMAL BÎRGHIȘ",239,BÂRGHIŞ,144232,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:22:04",615,602,0,0,13,391,378,0,0,13,371,20,660,269,90,27,15,190,2,7,9,31
34,SIBIU,"ŞCOALA PRIMARĂ APOȘ",240,BÂRGHIŞ,144232,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:40:57",278,275,1,2,0,141,139,0,2,0,128,13,300,159,51,6,4,34,6,19,3,5
34,SIBIU,"ŞCOALA PRIMARĂ PELIȘOR",242,BÂRGHIŞ,144232,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:18:07",403,396,0,7,0,191,184,0,7,0,175,10,336,151,92,4,30,32,0,0,16,1
34,SIBIU,"ŞCOALA PRIMARĂ ZLAGNA",244,BÂRGHIŞ,144232,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:22:03",141,137,2,2,0,69,65,2,2,0,64,5,150,81,20,4,8,19,2,0,10,1
