precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL PRO ROMÂNIA-voturi"
18,GALAŢI,"GRADINITA MOVILENI",407,ŞENDRENI,75114,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:07:45",562,556,1,3,2,316,311,0,3,2,305,11,657,341,18,71,158,7,46,5
18,GALAŢI,"GRADINITA SERBESTII VECHI",408,ŞENDRENI,75114,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:31:24",814,805,1,5,3,427,419,0,5,3,416,11,970,543,76,191,10,55,6,78
18,GALAŢI,"SCOALA GIMNAZIALA NR. 1",405,ŞENDRENI,75114,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 10:27:01",1600,1584,3,4,9,806,793,0,4,9,789,17,1700,894,37,137,399,52,155,9
18,GALAŢI,"SCOALA GIMNAZIALA NR. 1",406,ŞENDRENI,75114,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 08:32:32",1806,1791,1,6,8,974,960,0,6,8,951,23,1900,926,47,252,438,45,166,3
