precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","GURGU MARIAN-voturi","ZEGOICEA CRISTIAN-voturi"
27,MEHEDINŢI,"CĂMINUL CULTURAL BALA",96,BALA,110296,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:10:45",750,692,0,52,6,512,454,0,52,6,489,22,760,248,173,42,213,40,20,1
27,MEHEDINŢI,"ȘCOALA GENERALĂ I-IV BALA DE SUS",97,BALA,110296,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 02:50:36",490,472,0,14,4,336,318,0,14,4,329,7,519,183,185,24,92,16,4,8
27,MEHEDINŢI,"ȘCOALA GENERALĂ I-IV BRATEŞUL",98,BALA,110296,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 00:20:44",102,97,0,5,0,54,49,0,5,0,52,2,106,52,26,4,12,6,2,2
27,MEHEDINŢI,"ŞCOALA GENERALĂ I-IV COMĂNEŞTI",99,BALA,110296,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:50:07",302,295,0,6,1,200,193,0,6,1,185,15,326,126,33,33,72,32,13,2
27,MEHEDINŢI,"ȘCOALA GENERALĂ I-IV IUPCA",102,BALA,110296,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 02:41:30",146,136,0,9,1,98,88,0,9,1,93,5,148,50,31,38,14,9,1,0
27,MEHEDINŢI,"ȘCOALA GENERALĂ I-IV RUDINA",103,BALA,110296,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:49:38",367,351,0,16,0,236,220,0,16,0,234,2,386,150,82,7,108,32,5,0
27,MEHEDINŢI,"ȘCOALA GENERALĂ I-IV SĂRDĂNEŞTI",104,BALA,110296,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 00:58:17",195,186,0,9,0,131,122,0,9,0,129,2,203,72,19,36,47,9,16,2
27,MEHEDINŢI,"ȘCOALA GENERALĂ I-IV VIDIMIREŞTI",105,BALA,110296,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 00:31:51",119,112,0,7,0,77,70,0,7,0,77,0,119,42,28,26,15,6,1,1
27,MEHEDINŢI,"ȘCOALA GENERALĂ I-VIII CRAINICI",100,BALA,110296,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 01:37:45",317,295,0,22,0,242,220,0,22,0,224,18,321,79,26,49,53,13,71,12
27,MEHEDINŢI,"ȘCOALA GENERALĂ I-VIII DÎLMA",101,BALA,110296,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:44:22",321,301,0,17,3,216,196,0,17,3,203,13,321,105,82,24,90,5,1,1
