precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL VERDE-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi"
34,SIBIU,"GRĂDINIŢA CU PROGRAM NORMAL NR.2 GURA RÂULUI",274,"GURA RÂULUI",144599,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 10:22:00",1541,1508,0,10,23,1143,1110,0,10,23,1067,76,1682,539,375,191,310,41,30,120
34,SIBIU,"ŞCOALA GIMNAZIALĂ ”AUREL DECEI” GURA RÂULUI",273,"GURA RÂULUI",144599,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:38:42",1454,1398,1,10,45,1117,1062,0,10,45,1063,54,1580,463,373,208,244,61,36,141
