precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL MIȘCAREA ROMÂNIA SUVERANĂ-voturi","FORȚA DREPTEI-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi"
3,ARGEŞ,"CENTRUL DE CULTURĂ ȘI ARTE ” GEORGE TOPÎRCEANU” ( I )",125,"MUNICIPIUL CURTEA DE ARGEŞ",13622,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:57:27",1371,1354,7,8,2,613,603,0,8,2,593,20,1500,887,95,133,55,239,16,25,12,18
3,ARGEŞ,"CENTRUL DE CULTURĂ ȘI ARTE ”GEORGE TOPÎRCEANU” (II)",133,"MUNICIPIUL CURTEA DE ARGEŞ",13622,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:51:59",1375,1354,18,3,0,584,581,0,3,0,558,26,1500,916,88,150,51,204,12,31,4,18
3,ARGEŞ,"GRUP ȘCOLAR AGRICOL ”CONSTANTIN DOBRESCU ARGEȘ” ( I )",120,"MUNICIPIUL CURTEA DE ARGEŞ",13622,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:32:56",1288,1279,4,5,0,474,469,0,5,0,456,18,1450,976,49,83,39,217,10,22,9,27
3,ARGEŞ,"GRUP ȘCOLAR AGRICOL ”CONSTANTIN DOBRESCU ARGEȘ” ( II )",121,"MUNICIPIUL CURTEA DE ARGEŞ",13622,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 07:50:46",1591,1581,0,10,0,571,561,0,10,0,552,18,1750,1179,98,117,55,207,12,22,11,30
3,ARGEŞ,"GRUP ȘCOLAR AUTO CURTEA DE ARGEȘ",132,"MUNICIPIUL CURTEA DE ARGEŞ",13622,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:34:46",1925,1919,1,5,0,789,784,0,5,0,749,40,2100,1311,75,200,100,271,25,31,10,37
3,ARGEŞ,"GRUP ȘCOLAR ”FERDINAND I”",119,"MUNICIPIUL CURTEA DE ARGEŞ",13622,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:22:28",1567,1562,0,5,0,624,619,0,5,0,607,17,1700,1076,85,139,82,221,14,30,11,25
3,ARGEŞ,"GRUP ȘCOLAR FORESTIER CURTEA DE ARGEȘ ( I )",123,"MUNICIPIUL CURTEA DE ARGEŞ",13622,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:37:12",1261,1254,6,0,1,508,507,0,0,1,491,17,1389,881,55,130,59,185,8,27,7,20
3,ARGEŞ,"GRUP ȘCOLAR FORESTIER CURTEA DE ARGEȘ ( II )",124,"MUNICIPIUL CURTEA DE ARGEŞ",13622,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:01:31",1379,1360,14,5,0,531,526,0,5,0,520,11,1500,969,45,104,55,247,8,26,8,27
3,ARGEŞ,"ȘCOALA GENERALĂ NOAPTEȘ",135,"MUNICIPIUL CURTEA DE ARGEŞ",13622,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:15:09",777,771,0,6,0,363,357,0,6,0,354,9,1027,664,22,126,50,105,9,19,5,18
3,ARGEŞ,"ȘCOALA GENERALĂ NR.3 ”SFÂNTUL APOSTOL ANDREI”",134,"MUNICIPIUL CURTEA DE ARGEŞ",13622,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:58:15",1358,1355,2,1,0,555,554,0,1,0,536,19,1471,916,73,111,78,199,11,14,6,44
3,ARGEŞ,"ȘCOALA GENERALĂ NR.5 ”ARMAND CĂLINESCU” (I)",129,"MUNICIPIUL CURTEA DE ARGEŞ",13622,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:49:25",1304,1292,0,11,1,517,505,0,11,1,501,16,1450,933,82,112,73,177,8,27,6,16
3,ARGEŞ,"ȘCOALA GENERALĂ NR 5 ”ARMAND CĂLINESCU” (II)",130,"MUNICIPIUL CURTEA DE ARGEŞ",13622,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 08:43:14",991,981,2,6,2,390,381,1,6,2,382,8,1100,710,50,74,56,133,6,37,5,21
3,ARGEŞ,"ȘCOALA GENERALĂ VALEA SASULUI",131,"MUNICIPIUL CURTEA DE ARGEŞ",13622,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:39:54",855,853,0,2,0,399,397,0,2,0,386,12,954,556,45,69,50,180,11,17,3,11
3,ARGEŞ,"ȘCOALA GIMNAZIALĂ NR.1 ”CAROL I”",128,"MUNICIPIUL CURTEA DE ARGEŞ",13622,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:01:40",1479,1455,14,10,0,615,605,0,10,0,592,23,1600,985,81,181,75,180,14,22,11,28
3,ARGEŞ,"ȘCOALA GIMNAZIALĂ NR.1 ”CAROL I”",127,"MUNICIPIUL CURTEA DE ARGEŞ",13622,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:28:17",1207,1198,4,5,0,517,512,0,5,0,505,12,1300,783,60,169,71,152,5,20,5,23
3,ARGEŞ,"ȘCOALA GIMNAZIALĂ NR.2 ”REGINA MARIA” ( I )",116,"MUNICIPIUL CURTEA DE ARGEŞ",13622,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:26:33",1430,1428,0,2,0,575,573,0,2,0,564,11,1600,1025,84,119,78,229,6,26,6,16
3,ARGEŞ,"ȘCOALA GIMNAZIALĂ NR.2 ”REGINA MARIA” ( II )",117,"MUNICIPIUL CURTEA DE ARGEŞ",13622,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:31:32",1157,1155,0,2,0,480,478,0,2,0,468,12,1300,820,72,93,61,165,14,27,8,28
3,ARGEŞ,"ȘCOALA GIMNAZIALĂ NR.2 ”REGINA MARIA” ( III )",118,"MUNICIPIUL CURTEA DE ARGEŞ",13622,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:11:28",1599,1582,2,2,13,739,724,0,2,13,715,21,1750,1007,98,144,88,258,10,47,4,66
3,ARGEŞ,"ȘCOALA GIMNAZIALĂ NR.4 ” MIRCEA CEL BATRÂN”",126,"MUNICIPIUL CURTEA DE ARGEŞ",13622,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:44:45",1228,1220,4,4,0,534,530,0,4,0,515,19,1350,816,75,105,46,219,13,30,4,23
3,ARGEŞ,"ȘCOALA GIMNAZIALĂ NR.6 ”BASARAB I”",122,"MUNICIPIUL CURTEA DE ARGEŞ",13622,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:45:03",1328,1324,0,4,0,531,527,0,4,0,516,15,1450,919,65,103,41,233,14,19,6,35
