precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"RÎPAN MARIUS-VASILE-PARTIDUL NAȚIONAL LIBERAL-voturi","APETRII GHEORGHE-PARTIDUL SOCIAL DEMOCRAT-voturi","POPOVICI GHEORGHE-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","DULGHERU PETREA-PARTIDUL NAȚIONAL ȚĂRĂNESC MANIU-MIHALACHE-voturi","ANDREI SORIN-PARTIDUL MIȘCAREA POPULARĂ-voturi"
35,SUCEAVA,"CASA DE CULTURĂ ”PLATON PARDĂU”",116,"MUNICIPIUL VATRA DORNEI",146744,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:56:56",1187,1171,3,10,3,575,562,0,10,3,562,13,1200,625,289,211,23,11,28
35,SUCEAVA,"CASA DE CULTURĂ ”PLATON PARDĂU”",117,"MUNICIPIUL VATRA DORNEI",146744,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:28:10",893,884,1,8,0,493,485,0,8,0,483,10,986,493,206,225,13,17,22
35,SUCEAVA,"CENTRUL SOCIAL DE PRIMIRE, ASISTARE ȘI ÎNGRIJIRE A PERSOANELOR VÂRSTNICE",123,"MUNICIPIUL VATRA DORNEI",146744,1,PROV,PRCNCT,P,P_SV,"2024-06-10 02:16:11",506,499,1,6,0,300,294,0,6,0,295,5,600,300,168,108,5,8,6
35,SUCEAVA,"COMPLEX CFR GARA MARE",128,"MUNICIPIUL VATRA DORNEI",146744,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:52:19",1083,1071,0,12,0,556,544,0,12,0,539,17,1200,644,267,215,20,12,25
35,SUCEAVA,"GRADINITA CU PROGRAM NORMAL NR.5",125,"MUNICIPIUL VATRA DORNEI",146744,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:07:45",1068,1056,1,11,0,575,564,0,11,0,566,9,1200,622,280,194,16,48,28
35,SUCEAVA,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR.3 ”SCUFIȚA ROȘIE”",124,"MUNICIPIUL VATRA DORNEI",146744,1,PROV,PRCNCT,P,P_SV,"2024-06-10 07:17:46",1057,1044,0,7,6,552,539,0,7,6,534,18,1200,648,255,219,19,9,32
35,SUCEAVA,"HOTEL BRADUL",118,"MUNICIPIUL VATRA DORNEI",146744,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:50:53",801,787,4,10,0,401,391,0,10,0,396,5,900,499,191,161,14,13,17
35,SUCEAVA,"SCOALA GENERALA ARGESTRU",129,"MUNICIPIUL VATRA DORNEI",146744,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:07:02",501,490,0,10,1,284,274,0,10,0,260,24,591,307,111,114,12,16,7
35,SUCEAVA,"ŞCOALA GIMNAZIALĂ NR.1",120,"MUNICIPIUL VATRA DORNEI",146744,1,PROV,PRCNCT,P,P_SV,"2024-06-10 07:47:48",1522,1513,0,9,0,847,838,0,9,0,826,12,1600,762,421,316,35,11,43
35,SUCEAVA,"ŞCOALA GIMNAZIALĂ NR.1",119,"MUNICIPIUL VATRA DORNEI",146744,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:26:31",965,955,2,5,3,537,529,0,5,3,528,9,1000,463,342,140,5,26,15
35,SUCEAVA,"ŞCOALA GIMNAZIALĂ NR.2",121,"MUNICIPIUL VATRA DORNEI",146744,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:48:03",814,809,0,5,0,435,430,0,5,0,426,9,900,374,170,191,24,15,26
35,SUCEAVA,"ȘCOALA GIMNAZIALĂ NR.2",122,"MUNICIPIUL VATRA DORNEI",146744,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:49:18",1167,1155,2,10,0,625,615,0,10,0,597,28,1200,575,284,248,12,22,31
35,SUCEAVA,"ȘCOALA PRIMARĂ NR.3",127,"MUNICIPIUL VATRA DORNEI",146744,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:27:50",780,769,0,10,1,439,428,0,10,1,420,19,987,548,201,176,13,19,11
35,SUCEAVA,"ȘCOALA PRIMARĂ NR.3",126,"MUNICIPIUL VATRA DORNEI",146744,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:21:51",998,982,2,8,6,561,547,0,8,6,551,10,1000,439,317,158,17,26,33
