precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"VÎRTOPEANU STELEA-PARTIDUL SOCIAL DEMOCRAT-voturi","VLAD ION-PARTIDUL NAȚIONAL LIBERAL-voturi","GROSU GHEORGHE-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi"
36,TELEORMAN,"ŞCOALA GIMNAZIALĂ BĂBĂIŢA",94,BĂBĂIŢA,152038,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:37:21",1373,1307,0,5,61,995,929,0,5,61,976,19,1511,516,599,300,77
36,TELEORMAN,"ŞCOALA GIMNAZIALĂ MERIŞANI",95,BĂBĂIŢA,152038,2,PART,PRCNCT,P,P_SV,"2024-06-10 06:15:38",821,768,0,18,35,627,574,0,18,35,603,24,890,263,385,202,16
