precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi"
17,DOLJ,"CĂMINUL CULTURAL CARPEN",284,CARPEN,71536,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:34:56",685,613,0,54,18,499,427,0,54,18,479,20,742,243,36,43,400
17,DOLJ,"CĂMINUL CULTURAL CLEANOV",285,CARPEN,71536,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:02:42",1005,945,1,28,31,628,568,1,28,31,572,27,1100,501,76,23,473
