precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"CĂLIN GHEORGHE-PARTIDUL NAȚIONAL LIBERAL-voturi","CÎNDEA VASILE-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","ZAV IOAN-TOMA-voturi"
34,SIBIU,"GRĂDINIŢA CU PROGRAM NORMAL NR.2 GURA RÂULUI",274,"GURA RÂULUI",144599,1,PROV,PRCNCT,P,P_SV,"2024-06-10 08:30:26",1541,1508,0,10,23,1143,1110,0,10,23,1109,34,1688,545,437,12,660
34,SIBIU,"ŞCOALA GIMNAZIALĂ ”AUREL DECEI” GURA RÂULUI",273,"GURA RÂULUI",144599,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:38:42",1454,1398,1,10,45,1117,1062,0,10,45,1090,27,1580,463,443,20,627
