precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"NEBUNU CONSTANTIN-DORIAN-PARTIDUL SOCIAL DEMOCRAT-voturi","BALINT FLORIN-AURELIAN-PARTIDUL NAȚIONAL LIBERAL-voturi","ŞIPANU SORIN-FORȚA DREPTEI-voturi"
11,CARAŞ-SEVERIN,"CĂMINUL CULTURAL",207,CIUDANOVIŢA,52035,1,PART,PRCNCT,P,P_SV,"2024-06-10 00:54:04",111,87,0,21,3,92,69,0,20,3,92,0,102,10,82,9,1
11,CARAŞ-SEVERIN,"ŞCOALA GIMNAZIALĂ",206,CIUDANOVIŢA,52035,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:58:50",385,364,0,17,4,246,225,0,17,4,243,3,368,122,172,41,30
