precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi"
19,GIURGIU,"FOSTA ŞCOALA CU CLASELE I-IV PODU POPA NAE",130,GĂISENI,103087,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 02:34:28",124,118,0,3,3,89,83,0,3,3,88,1,132,43,13,13,62
19,GIURGIU,"ȘCOALA GIMNAZIALA NR. 1 SAT GĂISENI , COM GĂISENI ,",126,GĂISENI,103087,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:32:57",802,772,0,6,24,492,462,0,6,24,475,17,870,378,70,68,337
19,GIURGIU,"ȘCOALA GIMNAZIALA NR. 1 SAT GĂISENI , COM GĂISENI .",125,GĂISENI,103087,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:14:43",990,967,1,3,19,506,484,0,3,19,488,18,1082,576,94,60,334
19,GIURGIU,"ȘCOALA GIMNAZIALA NR. 2 , SAT CĂSCIOARELE COM GĂISENI",128,GĂISENI,103087,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 11:12:34",900,879,0,11,10,480,459,0,11,10,451,29,978,498,25,166,260
19,GIURGIU,"ȘCOALA GIMNAZIALA NR. 2 SAT CĂSCIOARELE , COM GĂISENI",129,GĂISENI,103087,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:35:42",736,716,0,4,16,424,404,0,4,16,406,18,809,385,34,132,240
19,GIURGIU,"ȘCOALA PRIMARĂ NR. 3 SAT CĂRPENIȘU , COM GĂISENI",127,GĂISENI,103087,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:15:06",699,664,0,35,0,433,398,0,35,0,414,19,740,307,40,107,267
