precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","GHEORGHE NICU-voturi"
18,GALAŢI,"GRĂDINIȚA CU PROGRAM NORMAL CĂLMĂȚUI",321,GRIVIŢA,76558,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:12:29",545,530,0,8,7,268,253,0,8,7,244,24,584,316,119,102,9,14
18,GALAŢI,"ȘCOALA GIMNAZIALĂ ”DUMITRU CĂPRARU” GRIVIȚA",319,GRIVIŢA,76558,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 13:05:01",1583,1543,0,9,31,808,768,0,9,31,756,52,1696,888,372,250,49,85
18,GALAŢI,"ȘCOALA GIMNAZIALĂ ”DUMITRU CĂPRARU” GRIVIȚA, CORP C2,",320,GRIVIŢA,76558,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:33:18",951,932,0,5,14,494,475,0,5,14,470,22,1052,536,248,140,46,36
