precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"CHIRCU SANDU-PARTIDUL NAȚIONAL LIBERAL-voturi","RUSEN CONSTANTIN-PARTIDUL SOCIAL DEMOCRAT-voturi","CHIRIACESCU VASILE-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
10,BUZĂU,"GRĂDINIȚA CU PROGRAM NORMAL BRĂGĂREASA",360,SCUTELNICI,49439,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:52:40",520,483,0,18,19,341,304,0,18,19,337,4,530,189,14,322,1
10,BUZĂU,"GRĂDINIȚA CU PROGRAM NORMAL SCUTELNICI",358,SCUTELNICI,49439,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:42:17",852,819,0,7,26,524,491,0,7,26,507,17,900,376,64,426,17
10,BUZĂU,"ŞCOALA PRIMARA SAT ARCANU",359,SCUTELNICI,49439,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:37:14",341,315,0,4,22,280,254,0,4,22,249,3,339,85,10,235,4
