precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","GHERASIM ALIN-DUMITRU-voturi"
2,ARAD,"ȘCOALA GIMNAZIALĂ „DR. IOAN DANICICO”",356,SEMLAC,12037,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:42:25",1752,1726,5,5,16,835,813,1,5,16,792,43,1932,1097,15,85,539,121,10,22
2,ARAD,"ȘCOALA GIMNAZIALĂ SEMLAC",357,SEMLAC,12037,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:08:35",1645,1620,10,6,9,740,725,0,6,9,676,64,1790,1050,54,79,427,96,4,16
