precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"STROE ELENA-CRISTINA-PARTIDUL NAȚIONAL LIBERAL-voturi","NICA DANIEL-COSMIN-PARTIDUL SOCIAL DEMOCRAT-voturi"
16,DÂMBOVIŢA,"ȘCOALA ÎNVĂȚĂTOR IULIAN RUSU",229,DOBRA,67292,1,PROV,PRCNCT,P,P_SV,"2024-06-10 08:21:05",1498,1472,0,10,16,920,894,0,10,16,895,23,1620,700,316,579
16,DÂMBOVIŢA,"ȘCOALA PREOT PANAIT GEORGESCU",228,DOBRA,67292,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:53:51",1440,1409,0,14,17,990,959,0,14,17,980,10,1568,578,125,855
