precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"SEMENIUC ALEXA-PARTIDUL SOCIAL DEMOCRAT-voturi","CURELEAC VASILE-UNIUNEA UCRAINENILOR DIN ROMÂNIA-voturi","RUSCOVAN IOAN-PARTIDUL NAȚIONAL LIBERAL-voturi","LAURUC MIHAI-voturi"
26,MARAMUREŞ,"CĂMINUL CULTURAL",384,"RONA DE SUS",108632,3,PART,PRCNCT,P,P_SV,"2024-06-10 12:08:24",1635,1595,0,4,36,834,795,0,4,35,799,35,1700,866,630,22,115,32
26,MARAMUREŞ,"CĂMINUL CULTURAL",385,"RONA DE SUS",108632,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:24:17",1505,1469,3,3,30,753,720,0,3,30,725,28,1600,847,578,12,117,18
26,MARAMUREŞ,"CLUBUL TINERETULUI",386,"RONA DE SUS",108632,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:01:33",630,609,1,5,15,377,357,0,5,15,362,15,750,373,228,8,122,4
