precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ŢONA VIRGIL-IOAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","POPESCU COSMIN-SIMION-PARTIDUL SOCIAL DEMOCRAT-voturi","GOLDSCHMIDT LOREDANA-AMALIA-voturi"
37,TIMIŞ,"CĂMINUL CULTURAL BREAZOVA",463,MARGINA,157585,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:21:47",210,203,1,5,1,140,133,1,5,1,136,4,250,110,24,69,43
37,TIMIŞ,"CĂMINUL CULTURAL COŞTEIU DE SUS",464,MARGINA,157585,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:42:09",165,158,0,6,1,93,86,0,6,1,84,9,200,107,13,35,36
37,TIMIŞ,"CĂMINUL CULTURAL GROŞI",465,MARGINA,157585,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:55:09",74,64,0,10,0,44,34,0,10,0,41,3,100,56,6,28,7
37,TIMIŞ,"CĂMINUL CULTURAL MARGINA",462,MARGINA,157585,2,PART,PRCNCT,P,P_SV,"2024-06-10 08:56:25",928,923,1,3,1,534,530,0,3,1,496,38,998,464,40,336,120
37,TIMIŞ,"CĂMINUL CULTURAL SINTEŞTI",466,MARGINA,157585,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:07:54",418,411,0,7,0,264,257,0,7,0,252,12,450,186,56,191,5
