precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"FLOREA DANIEL-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ILIUŢĂ VASILE-PARTIDUL SOCIAL DEMOCRAT-voturi","BARBU VALENTIN-PARTIDUL NAȚIONAL LIBERAL-voturi","COARNĂ DUMITRU-PARTIDUL UMANIST SOCIAL LIBERAL-voturi","BELLANTONI AMALIA-PARTIDUL S.O.S. ROMÂNIA-voturi","DĂSCĂLESCU-TIRON CAMELIA-SANDA-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
12,CĂLĂRAŞI,"ŞCOALA GIMNAZIALĂ NR. 1 PERIŞORU- CORP B",187,PERIŞORU,94223,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 16:14:53",1711,1665,0,10,36,884,843,0,10,31,881,3,1907,1023,205,469,154,15,25,13
12,CĂLĂRAŞI,"SCOALA GIMNAZIALA NR.1 RADU-VODA",169,LUPŞANU,93931,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:14:58",904,891,0,13,0,493,480,0,13,0,469,24,991,498,44,246,39,106,30,4
12,CĂLĂRAŞI,"SCOALA GIMNAZIALA NR. 1 SPANTOV",206,SPANŢOV,105259,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:53:59",756,744,1,4,7,464,452,1,4,7,449,15,828,364,33,110,255,24,16,11
12,CĂLĂRAŞI,"ȘCOALA GIMNAZIALĂ NR. 1 VALEA ROȘIE",176,MITRENI,100638,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:26:30",1763,1714,0,19,30,1220,1171,0,19,30,1071,62,1887,754,36,325,605,30,60,15
12,CĂLĂRAŞI,"ȘCOALA GIMNAZIALĂ NR.1 VLAD ȚEPEȘ",234,"VLAD ŢEPEŞ",94768,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:06:28",1111,1044,1,21,45,721,654,1,21,45,703,18,1137,416,19,486,142,36,18,2
12,CĂLĂRAŞI,"SCOALA GIMNAZIALA NR. 2 ALEXANDRU ODOBESCU",82,"ALEXANDRU ODOBESCU",94125,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 09:12:58",1038,913,1,79,45,752,628,0,79,45,739,13,988,200,19,352,330,15,14,9
12,CĂLĂRAŞI,"SCOALA GIMNAZIALA NR. 2 BORCEA",90,BORCEA,92961,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:41:18",1656,1628,1,8,19,877,849,1,8,19,861,16,1830,953,63,176,535,17,54,16
12,CĂLĂRAŞI,"ȘCOALA GIMNAZIALĂ NR.2 DOR MĂRUNT GARĂ",114,"DOR MĂRUNT",93370,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:44:29",1030,1015,1,5,9,582,568,0,5,9,554,28,1078,496,41,388,72,8,33,12
12,CĂLĂRAŞI,"ȘCOALA GIMNAZIALĂ NR.2 DOR MĂRUNT GARĂ",115,"DOR MĂRUNT",93370,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:56:35",452,441,0,8,3,243,232,0,8,3,232,11,490,247,19,163,34,3,11,2
12,CĂLĂRAŞI,"SCOALA GIMNAZIALA NR. 2 MITRENI",174,MITRENI,100638,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:04:06",1121,1062,0,21,38,808,749,0,21,38,767,41,1175,367,40,245,418,13,23,28
