precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi"
2,ARAD,"CĂMINUL CULTURAL SÂNPAUL",388,ŞOFRONEA,9360,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:59:18",728,694,3,14,17,491,459,1,14,17,480,9,760,269,75,31,32,337,1,3,1
2,ARAD,"CĂMINUL CULTURAL ŞOFRONEA",387,ŞOFRONEA,9360,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:48:23",1915,1876,6,12,21,1093,1060,0,12,21,1071,22,2052,959,394,335,64,228,28,18,4
