precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"SFETCU IULIAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","BOHANCANU IOAN-ALIANȚA ELECTORALĂ PSD PNL-voturi"
37,TIMIŞ,"CĂMINUL CULTURAL CHEREŞTUR",316,"BEBA VECHE",155724,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:27:49",403,385,0,13,5,275,257,0,13,5,266,9,434,159,78,188
37,TIMIŞ,"PRIMĂRIA COMUNEI BEBA VECHE",315,"BEBA VECHE",155724,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:29:14",826,805,0,14,7,448,427,0,14,7,433,15,900,452,83,350
